state,county_name,precinct,year,pres.dem,pres.gop,gov.dem,gov.gop,statehouse.dem,statehouse.gop,dem_share_pres,dem_share_gov ,dem_share_statehouse
NORTH CAROLINA,ASHE,10,2024,37,139,45,120,42,131,21.02272727,27.27272727,24.27745665
NORTH CAROLINA,ASHE,11,2024,408,1214,529,1001,485,1110,25.1541307,34.5751634,30.40752351
NORTH CAROLINA,ASHE,12,2024,152,341,156,306,151,334,30.831643,33.76623377,31.13402062
NORTH CAROLINA,ASHE,13,2024,272,692,342,559,285,663,28.21576763,37.95782464,30.06329114
NORTH CAROLINA,ASHE,14,2024,640,1282,798,993,654,1236,33.29864724,44.5561139,34.6031746
NORTH CAROLINA,ASHE,15,2024,131,610,213,464,141,581,17.67881242,31.46233383,19.52908587
NORTH CAROLINA,ASHE,16,2024,548,1262,682,1023,579,1222,30.27624309,40,32.14880622
NORTH CAROLINA,ASHE,17,2024,118,468,150,407,141,442,20.13651877,26.92998205,24.18524871
NORTH CAROLINA,ASHE,18,2024,31,83,26,71,30,84,27.19298246,26.80412371,26.31578947
NORTH CAROLINA,ASHE,20,2024,678,1658,886,1307,742,1560,29.0239726,40.40127679,32.23284101
NORTH CAROLINA,AVERY,1,2024,41,185,55,158,28,187,18.14159292,25.82159624,13.02325581
NORTH CAROLINA,AVERY,2,2024,132,286,167,226,114,297,31.57894737,42.49363868,27.73722628
NORTH CAROLINA,AVERY,3,2024,26,197,28,181,23,192,11.65919283,13.39712919,10.69767442
NORTH CAROLINA,AVERY,4,2024,3,29,3,26,3,22,9.375,10.34482759,12
NORTH CAROLINA,AVERY,5,2024,5,103,7,98,5,95,4.62962963,6.666666667,5
NORTH CAROLINA,AVERY,6,2024,17,201,26,176,22,183,7.798165138,12.87128713,10.73170732
NORTH CAROLINA,AVERY,7,2024,5,57,7,50,6,51,8.064516129,12.28070175,10.52631579
NORTH CAROLINA,AVERY,8,2024,11,38,14,37,12,38,22.44897959,27.45098039,24
NORTH CAROLINA,AVERY,9,2024,9,82,13,75,7,86,9.89010989,14.77272727,7.52688172
NORTH CAROLINA,AVERY,10,2024,23,116,32,101,26,107,16.54676259,24.06015038,19.54887218
NORTH CAROLINA,AVERY,11,2024,29,57,33,48,23,60,33.72093023,40.74074074,27.71084337
NORTH CAROLINA,AVERY,12,2024,6,49,10,45,6,45,10.90909091,18.18181818,11.76470588
NORTH CAROLINA,AVERY,13,2024,36,80,39,72,25,88,31.03448276,35.13513514,22.12389381
NORTH CAROLINA,AVERY,14,2024,14,118,22,99,16,109,10.60606061,18.18181818,12.8
NORTH CAROLINA,AVERY,15,2024,26,118,32,97,22,110,18.05555556,24.80620155,16.66666667
NORTH CAROLINA,AVERY,16,2024,73,196,110,143,68,185,27.13754647,43.47826087,26.87747036
NORTH CAROLINA,AVERY,17,2024,12,94,17,82,10,89,11.32075472,17.17171717,10.1010101
NORTH CAROLINA,AVERY,18,2024,8,52,12,44,3,51,13.33333333,21.42857143,5.555555556
NORTH CAROLINA,AVERY,19,2024,4,41,5,41,2,44,8.888888889,10.86956522,4.347826087
NORTH CAROLINA,BEAUFORT,AUR,2024,292,352,332,284,295,347,45.34161491,53.8961039,45.95015576
NORTH CAROLINA,BEAUFORT,AUROR,2024,122,104,135,79,111,107,53.98230088,63.08411215,50.91743119
NORTH CAROLINA,BEAUFORT,BEADM,2024,37,227,60,183,40,214,14.01515152,24.69135802,15.7480315
NORTH CAROLINA,BEAUFORT,BEL,2024,414,939,478,813,406,922,30.59866962,37.02556158,30.57228916
NORTH CAROLINA,BEAUFORT,BELHV,2024,85,130,97,105,84,130,39.53488372,48.01980198,39.25233645
NORTH CAROLINA,BEAUFORT,BLCK,2024,85,100,108,73,93,94,45.94594595,59.66850829,49.73262032
NORTH CAROLINA,BEAUFORT,BOE,2024,4465,7878,5218,6490,4434,7723,36.17434983,44.56781688,36.47281402
NORTH CAROLINA,BEAUFORT,CHO,2024,1387,3509,1729,2893,1389,3454,28.32924837,37.40804846,28.68056989
NORTH CAROLINA,BEAUFORT,CHOCO,2024,175,324,203,246,177,308,35.07014028,45.21158129,36.49484536
NORTH CAROLINA,BEAUFORT,EDWAR,2024,93,143,108,105,97,133,39.40677966,50.70422535,42.17391304
NORTH CAROLINA,BEAUFORT,GILEA,2024,52,117,70,82,50,118,30.76923077,46.05263158,29.76190476
NORTH CAROLINA,BEAUFORT,HB,2024,20,228,38,203,20,229,8.064516129,15.76763485,8.032128514
NORTH CAROLINA,BEAUFORT,NCRK,2024,71,295,101,240,72,296,19.3989071,29.61876833,19.56521739
NORTH CAROLINA,BEAUFORT,OLDF,2024,104,232,148,172,116,213,30.95238095,46.25,35.25835866
NORTH CAROLINA,BEAUFORT,PANTE,2024,68,230,92,206,70,227,22.81879195,30.87248322,23.56902357
NORTH CAROLINA,BEAUFORT,PINET,2024,28,290,56,246,32,278,8.805031447,18.54304636,10.32258065
NORTH CAROLINA,BEAUFORT,PSJW3,2024,203,40,208,25,196,39,83.53909465,89.27038627,83.40425532
NORTH CAROLINA,BEAUFORT,RVRD,2024,114,220,150,165,117,215,34.13173653,47.61904762,35.24096386
NORTH CAROLINA,BEAUFORT,SURBA,2024,95,460,172,349,95,469,17.11711712,33.0134357,16.84397163
NORTH CAROLINA,BEAUFORT,TCRK,2024,116,322,170,239,108,318,26.48401826,41.56479218,25.35211268
NORTH CAROLINA,BEAUFORT,WASH1,2024,145,94,164,60,140,93,60.66945607,73.21428571,60.08583691
NORTH CAROLINA,BEAUFORT,WASH2,2024,130,57,140,38,128,61,69.51871658,78.65168539,67.72486772
NORTH CAROLINA,BEAUFORT,WASH4,2024,120,127,144,87,113,128,48.58299595,62.33766234,46.8879668
NORTH CAROLINA,BEAUFORT,WASHP,2024,93,157,123,110,85,160,37.2,52.78969957,34.69387755
NORTH CAROLINA,BEAUFORT,WDPD,2024,53,247,88,201,52,242,17.66666667,30.44982699,17.68707483
NORTH CAROLINA,BERTIE,C1,2024,68,124,77,107,66,118,35.41666667,41.84782609,35.86956522
NORTH CAROLINA,BERTIE,C2,2024,124,40,132,33,121,38,75.6097561,80,76.10062893
NORTH CAROLINA,BERTIE,IW,2024,79,8,79,7,79,10,90.8045977,91.86046512,88.76404494
NORTH CAROLINA,BERTIE,LOB,2024,2208,1784,2298,1566,2179,1715,55.31062124,59.47204969,55.95788392
NORTH CAROLINA,BERTIE,LW,2024,719,198,696,177,709,187,78.40785169,79.72508591,79.12946429
NORTH CAROLINA,BERTIE,M1,2024,64,106,72,94,65,102,37.64705882,43.37349398,38.92215569
NORTH CAROLINA,BERTIE,M2,2024,127,103,127,94,120,104,55.2173913,57.46606335,53.57142857
NORTH CAROLINA,BERTIE,MH,2024,95,74,99,64,92,76,56.21301775,60.73619632,54.76190476
NORTH CAROLINA,BERTIE,POW,2024,899,743,927,658,866,720,54.75030451,58.48580442,54.60277427
NORTH CAROLINA,BERTIE,RX,2024,192,55,185,46,186,53,77.73279352,80.08658009,77.82426778
NORTH CAROLINA,BERTIE,SN,2024,94,26,86,30,89,29,78.33333333,74.13793103,75.42372881
NORTH CAROLINA,BERTIE,W1,2024,300,125,297,114,289,126,70.58823529,72.26277372,69.63855422
NORTH CAROLINA,BERTIE,W2,2024,6,240,22,214,8,232,2.43902439,9.322033898,3.333333333
NORTH CAROLINA,BERTIE,WD,2024,69,18,71,17,77,14,79.31034483,80.68181818,84.61538462
NORTH CAROLINA,BERTIE,WH,2024,80,134,103,107,78,130,37.38317757,49.04761905,37.5
NORTH CAROLINA,BLADEN,CENTRAL,2024,276,876,337,755,294,822,23.95833333,30.86080586,26.34408602
NORTH CAROLINA,BLADEN,EAST ARCADIA,2024,603,194,613,156,587,189,75.6587202,79.71391417,75.6443299
NORTH CAROLINA,BLADEN,NATIONAL GUARD,2024,2609,3060,2897,2537,2604,2941,46.02222614,53.312477,46.96122633
NORTH CAROLINA,BLADEN,P10,2024,45,55,56,49,54,50,45,53.33333333,51.92307692
NORTH CAROLINA,BLADEN,P15,2024,136,290,152,245,140,281,31.92488263,38.28715365,33.25415677
NORTH CAROLINA,BLADEN,P201,2024,28,160,42,130,32,143,14.89361702,24.41860465,18.28571429
NORTH CAROLINA,BLADEN,P202,2024,102,230,127,190,109,214,30.72289157,40.06309148,33.74613003
NORTH CAROLINA,BLADEN,P25,2024,99,115,125,83,95,114,46.26168224,60.09615385,45.45454545
NORTH CAROLINA,BLADEN,P30,2024,85,47,98,33,95,37,64.39393939,74.80916031,71.96969697
NORTH CAROLINA,BLADEN,P35,2024,58,30,62,22,57,27,65.90909091,73.80952381,67.85714286
NORTH CAROLINA,BLADEN,P40,2024,79,210,103,160,77,206,27.33564014,39.1634981,27.20848057
NORTH CAROLINA,BLADEN,P45,2024,48,112,59,95,53,104,30,38.31168831,33.75796178
NORTH CAROLINA,BLADEN,P501,2024,179,113,200,84,170,108,61.30136986,70.42253521,61.15107914
NORTH CAROLINA,BLADEN,P502,2024,136,91,150,65,128,86,59.91189427,69.76744186,59.81308411
NORTH CAROLINA,BLADEN,P55,2024,87,161,108,124,82,147,35.08064516,46.55172414,35.80786026
NORTH CAROLINA,BLADEN,P60,2024,85,89,92,68,81,84,48.85057471,57.5,49.09090909
NORTH CAROLINA,BLADEN,P65,2024,43,102,53,83,47,93,29.65517241,38.97058824,33.57142857
NORTH CAROLINA,BLADEN,P70,2024,48,69,53,56,49,64,41.02564103,48.62385321,43.36283186
NORTH CAROLINA,BLADEN,P75,2024,132,102,144,84,132,93,56.41025641,63.15789474,58.66666667
NORTH CAROLINA,BLADEN,P80,2024,96,127,105,105,98,124,43.04932735,50,44.14414414
NORTH CAROLINA,BLADEN,SPAULDING MONROE,2024,636,2160,766,1919,675,2064,22.74678112,28.52886406,24.64403067
NORTH CAROLINA,BLADEN,TAR HEEL RESCUE,2024,748,1420,844,1213,759,1358,34.50184502,41.03062713,35.85262163
NORTH CAROLINA,BRUNSWICK,CB01,2024,581,1166,715,915,575,1123,33.25701202,43.86503067,33.86336867
NORTH CAROLINA,BRUNSWICK,CB02,2024,1671,3625,2147,2741,1626,3553,31.5521148,43.92389525,31.3960224
NORTH CAROLINA,BRUNSWICK,CB03,2024,629,1611,878,1151,616,1586,28.08035714,43.27254805,27.97456857
NORTH CAROLINA,BRUNSWICK,CB04,2024,894,2478,1251,1828,865,2418,26.51245552,40.6300747,26.34785257
NORTH CAROLINA,BRUNSWICK,CB05,2024,833,2183,1110,1636,832,2111,27.6193634,40.42243263,28.27047231
NORTH CAROLINA,BRUNSWICK,CB06,2024,2013,3878,2557,2839,1938,3839,34.17076897,47.3869533,33.54682361
NORTH CAROLINA,BRUNSWICK,NB01,2024,694,885,776,697,661,868,43.95186827,52.68160217,43.23086985
NORTH CAROLINA,BRUNSWICK,NB02,2024,3102,3788,3716,2664,2908,3755,45.02177068,58.24451411,43.6440042
NORTH CAROLINA,BRUNSWICK,NB03,2024,1398,2900,1773,2220,1372,2816,32.52675663,44.40270473,32.76026743
NORTH CAROLINA,BRUNSWICK,NB04,2024,2674,3132,3236,2201,2504,3160,46.05580434,59.51811661,44.20903955
NORTH CAROLINA,BRUNSWICK,NB05,2024,1232,1331,1401,990,1193,1277,48.06866953,58.59473024,48.29959514
NORTH CAROLINA,BRUNSWICK,NB06,2024,2860,2784,3461,1801,2595,2901,50.67328136,65.77347016,47.21615721
NORTH CAROLINA,BRUNSWICK,NB07,2024,3073,4032,3668,2944,2981,3936,43.25123153,55.47489413,43.09671823
NORTH CAROLINA,BRUNSWICK,SB01,2024,690,1145,793,907,661,1131,37.60217984,46.64705882,36.88616071
NORTH CAROLINA,BRUNSWICK,SB02,2024,1242,3091,1661,2325,1246,3014,28.66374336,41.67084797,29.24882629
NORTH CAROLINA,BRUNSWICK,SB03,2024,3435,4559,4499,2879,3216,4655,42.9697273,60.97858498,40.85884894
NORTH CAROLINA,BRUNSWICK,SB04,2024,1277,1745,1591,1193,1202,1757,42.25678359,57.14798851,40.6218317
NORTH CAROLINA,BRUNSWICK,SB05,2024,1178,1633,1435,1171,1106,1643,41.90679473,55.06523408,40.23281193
NORTH CAROLINA,BRUNSWICK,SB06,2024,1014,1956,1328,1412,986,1958,34.14141414,48.46715328,33.49184783
NORTH CAROLINA,BRUNSWICK,SB07,2024,969,1807,1288,1258,954,1789,34.90634006,50.58915947,34.77943857
NORTH CAROLINA,BRUNSWICK,SB08,2024,737,1125,946,795,688,1143,39.5810956,54.33658817,37.57509558
NORTH CAROLINA,BRUNSWICK,WB01,2024,304,1292,420,1041,343,1213,19.04761905,28.74743326,22.0437018
NORTH CAROLINA,BRUNSWICK,WB02,2024,1863,3717,2497,2563,1736,3713,33.38709677,49.34782609,31.85905671
NORTH CAROLINA,BRUNSWICK,WB03,2024,483,636,540,499,473,625,43.16353887,51.97305101,43.07832423
NORTH CAROLINA,BRUNSWICK,WB04,2024,2048,4178,2713,2887,1951,4072,32.89431417,48.44642857,32.39249543
NORTH CAROLINA,BRUNSWICK,WB05,2024,1582,2555,2091,1643,1503,2514,38.24027073,55.99892876,37.41598208
NORTH CAROLINA,BRUNSWICK,WB06,2024,2081,4426,2844,3050,1912,4450,31.9809436,48.25246013,30.05344231
NORTH CAROLINA,BUNCOMBE,1.1,2024,1377,194,1396,130,1411,0,87.65117759,91.48099607,100
NORTH CAROLINA,BUNCOMBE,2.1,2024,2099,169,2115,106,2111,0,92.54850088,95.22737506,100
NORTH CAROLINA,BUNCOMBE,3.1,2024,1547,157,1575,95,1558,0,90.78638498,94.31137725,100
NORTH CAROLINA,BUNCOMBE,4.1,2024,1047,138,1087,77,1066,0,88.35443038,93.38487973,100
NORTH CAROLINA,BUNCOMBE,5.1,2024,1866,384,1973,228,1929,0,82.93333333,89.64107224,100
NORTH CAROLINA,BUNCOMBE,6.1,2024,951,228,991,164,986,0,80.66157761,85.8008658,100
NORTH CAROLINA,BUNCOMBE,7.1,2024,1318,178,1357,117,1360,0,88.10160428,92.0624152,100
NORTH CAROLINA,BUNCOMBE,8.2,2024,1540,411,1592,268,1616,0,78.93388006,85.59139785,100
NORTH CAROLINA,BUNCOMBE,8.3,2024,1528,509,1577,364,1605,0,75.01227295,81.24678001,100
NORTH CAROLINA,BUNCOMBE,9.1,2024,2361,676,2466,482,2552,0,77.74119197,83.64993216,100
NORTH CAROLINA,BUNCOMBE,10.1,2024,925,96,938,65,932,0,90.59745348,93.51944167,100
NORTH CAROLINA,BUNCOMBE,11.1,2024,888,109,901,70,900,0,89.0672016,92.79093718,100
NORTH CAROLINA,BUNCOMBE,12.1,2024,1740,212,1776,145,1805,0,89.13934426,92.451848,100
NORTH CAROLINA,BUNCOMBE,13.1,2024,1466,209,1500,132,1496,0,87.52238806,91.91176471,100
NORTH CAROLINA,BUNCOMBE,14.2,2024,1546,289,1573,207,1610,0,84.2506812,88.37078652,100
NORTH CAROLINA,BUNCOMBE,14.3,2024,645,196,661,142,669,0,76.69441141,82.31631382,100
NORTH CAROLINA,BUNCOMBE,15.1,2024,1609,222,1650,148,1643,0,87.87547788,91.76863181,100
NORTH CAROLINA,BUNCOMBE,16.2,2024,1967,370,2015,263,2031,0,84.16773641,88.4547849,100
NORTH CAROLINA,BUNCOMBE,17.1,2024,1061,193,1096,116,1096,0,84.6092504,90.4290429,100
NORTH CAROLINA,BUNCOMBE,18.2,2024,2863,1309,3133,855,2750,1318,68.62416107,78.56068205,67.60078663
NORTH CAROLINA,BUNCOMBE,19.1,2024,823,334,858,227,804,313,71.13223855,79.07834101,71.97851388
NORTH CAROLINA,BUNCOMBE,20.1,2024,718,122,728,80,736,0,85.47619048,90.0990099,100
NORTH CAROLINA,BUNCOMBE,21.1,2024,1655,473,1724,333,1724,0,77.77255639,83.81137579,100
NORTH CAROLINA,BUNCOMBE,22.2,2024,1650,342,1742,203,1675,0,82.8313253,89.56298201,100
NORTH CAROLINA,BUNCOMBE,23.2,2024,415,136,433,90,431,0,75.31760436,82.791587,100
NORTH CAROLINA,BUNCOMBE,23.3,2024,555,178,585,125,585,0,75.71623465,82.3943662,100
NORTH CAROLINA,BUNCOMBE,24.1,2024,1211,687,1316,501,1209,656,63.80400421,72.4270776,64.82573727
NORTH CAROLINA,BUNCOMBE,25.1,2024,1324,420,1389,302,1409,0,75.91743119,82.14074512,100
NORTH CAROLINA,BUNCOMBE,26.1,2024,1181,301,1213,223,1243,0,79.68960864,84.47075209,100
NORTH CAROLINA,BUNCOMBE,27.2,2024,563,158,598,104,584,0,78.08599168,85.18518519,100
NORTH CAROLINA,BUNCOMBE,28.1,2024,1426,180,1465,103,1465,0,88.79202989,93.43112245,100
NORTH CAROLINA,BUNCOMBE,29.2,2024,1918,666,2055,427,1855,680,74.22600619,82.79613215,73.17554241
NORTH CAROLINA,BUNCOMBE,30.2,2024,1446,1121,1604,831,1390,1112,56.33034671,65.87268994,55.55555556
NORTH CAROLINA,BUNCOMBE,30.3,2024,1531,1279,1738,922,1475,1286,54.48398577,65.33834586,53.42267294
NORTH CAROLINA,BUNCOMBE,31.1,2024,661,430,742,290,819,0,60.58661778,71.89922481,100
NORTH CAROLINA,BUNCOMBE,32.1,2024,908,830,1010,646,930,784,52.24395857,60.99033816,54.25904317
NORTH CAROLINA,BUNCOMBE,33.2,2024,715,485,773,380,701,467,59.58333333,67.04249783,60.01712329
NORTH CAROLINA,BUNCOMBE,33.3,2024,971,631,1035,504,964,613,60.61173533,67.25146199,61.12872543
NORTH CAROLINA,BUNCOMBE,34.1,2024,629,345,685,254,641,330,64.57905544,72.94994675,66.01441813
NORTH CAROLINA,BUNCOMBE,35.1,2024,1038,449,1109,314,1011,436,69.80497646,77.93394238,69.86869385
NORTH CAROLINA,BUNCOMBE,36.1,2024,854,736,949,573,864,716,53.71069182,62.3521682,54.6835443
NORTH CAROLINA,BUNCOMBE,37.1,2024,554,718,612,579,591,654,43.55345912,51.38539043,47.46987952
NORTH CAROLINA,BUNCOMBE,38.2,2024,676,963,800,758,758,870,41.24466138,51.3478819,46.56019656
NORTH CAROLINA,BUNCOMBE,38.3,2024,1249,1531,1414,1247,1323,1414,44.92805755,53.13791808,48.33759591
NORTH CAROLINA,BUNCOMBE,39.2,2024,750,654,819,518,788,587,53.41880342,61.2565445,57.30909091
NORTH CAROLINA,BUNCOMBE,39.3,2024,1268,1079,1410,826,1351,981,54.0264167,63.05903399,57.93310463
NORTH CAROLINA,BUNCOMBE,40.2,2024,1281,1882,1520,1476,1349,1742,40.49952577,50.73431242,43.64283403
NORTH CAROLINA,BUNCOMBE,41.1,2024,1067,1670,1296,1302,1159,1538,38.98428937,49.88452656,42.97367445
NORTH CAROLINA,BUNCOMBE,42.1,2024,884,708,963,544,1072,0,55.52763819,63.90179164,100
NORTH CAROLINA,BUNCOMBE,43.2,2024,735,499,786,392,870,0,59.5623987,66.72325976,100
NORTH CAROLINA,BUNCOMBE,44.1,2024,2938,2026,3173,1561,2889,1988,59.18614021,67.02577102,59.23723601
NORTH CAROLINA,BUNCOMBE,45.1,2024,1877,1551,2093,1191,1941,1440,54.75495916,63.73325213,57.40905058
NORTH CAROLINA,BUNCOMBE,46.1,2024,718,483,789,364,711,466,59.78351374,68.43018213,60.40781648
NORTH CAROLINA,BUNCOMBE,47.1,2024,1172,2065,1429,1613,1328,1854,36.20636392,46.9756739,41.73475801
NORTH CAROLINA,BUNCOMBE,48.1,2024,1374,1689,1601,1263,1465,1546,44.85798237,55.90083799,48.65493192
NORTH CAROLINA,BUNCOMBE,49.1,2024,1264,2097,1512,1645,1383,1914,37.60785481,47.89356984,41.94722475
NORTH CAROLINA,BUNCOMBE,50.1,2024,451,727,495,617,467,674,38.2852292,44.51438849,40.92900964
NORTH CAROLINA,BUNCOMBE,51.2,2024,744,970,855,785,775,910,43.40723454,52.13414634,45.99406528
